fight_name,fighter_1_name,fighter_2_name,fighter_1_strength,fighter_2_strength,strength_diff,strength_advantage,fighter_1_travel_speed,fighter_2_travel_speed,travel_speed_diff,travel_speed_advantage,fighter_1_agility,fighter_2_agility,agility_diff,agility_advantage,fighter_1_reaction_speed,fighter_2_reaction_speed,reaction_speed_diff,reaction_speed_advantage,fighter_1_offense,fighter_2_offense,offense_diff,offense_advantage,fighter_1_defense,fighter_2_defense,defense_diff,defense_advantage,fighter_1_endurance,fighter_2_endurance,endurance_diff,endurance_advantage,fighter_1_durability,fighter_2_durability,durability_diff,durability_advantage,fighter_1_stamina,fighter_2_stamina,stamina_diff,stamina_advantage,fighter_1_intelligence,fighter_2_intelligence,intelligence_diff,intelligence_advantage,fighter_1_battle_iq,fighter_2_battle_iq,battle_iq_diff,battle_iq_advantage,fighter_1_combat_skills,fighter_2_combat_skills,combat_skills_diff,combat_skills_advantage,fighter_1_weapon_proficiency,fighter_2_weapon_proficiency,weapon_proficiency_diff,weapon_proficiency_advantage,fighter_1_armament_haki,fighter_2_armament_haki,armament_haki_diff,armament_haki_advantage,fighter_1_observation_haki,fighter_2_observation_haki,observation_haki_diff,observation_haki_advantage,fighter_1_conqueror_haki,fighter_2_conqueror_haki,conqueror_haki_diff,conqueror_haki_advantage,fighter_1_devil_fruit,fighter_2_devil_fruit,devil_fruit_diff,devil_fruit_advantage,fighter_1_mentality,fighter_2_mentality,mentality_diff,mentality_advantage,fighter_1_experience,fighter_2_experience,experience_diff,experience_advantage,fighter_1_points,fighter_2_points,outcome
Monkey D. Luffy vs Dracule Mihawk,Monkey D. Luffy,Dracule Mihawk,10.0,10.0,0.0,0,8.0,7.5,0.5,1,9.0,8.0,1.0,1,9.0,10.0,-1.0,0,10.0,10.0,0.0,0,8.0,9.0,-1.0,0,10.0,8.5,1.5,1,9.0,8.5,0.5,1,9.0,9.5,-0.5,0,3.0,8.0,-5.0,0,8.0,10.0,-2.0,0,9.0,10.0,-1.0,0,1.0,10.0,-9.0,0,9.0,9.5,-0.5,0,9.0,9.5,-0.5,0,1.0,0.0,1.0,1,10.0,1.0,9.0,1,10.0,9.5,0.5,1,9.0,10.0,-1.0,0,9,12,loss
Monkey D. Luffy vs Edward Newgate,Monkey D. Luffy,Edward Newgate,10.0,10.0,0.0,0,8.0,6.0,2.0,1,9.0,5.0,4.0,1,9.0,7.5,1.5,1,10.0,10.0,0.0,0,8.0,9.0,-1.0,0,10.0,10.0,0.0,0,9.0,10.0,-1.0,0,9.0,8.5,0.5,1,3.0,7.5,-4.5,0,8.0,9.0,-1.0,0,9.0,10.0,-1.0,0,1.0,10.0,-9.0,0,9.0,10.0,-1.0,0,9.0,8.0,1.0,1,1.0,1.0,0.0,0,10.0,10.0,0.0,0,10.0,9.5,0.5,1,9.0,10.0,-1.0,0,11,13,loss
Monkey D. Luffy vs Going Merry,Monkey D. Luffy,Going Merry,10.0,3.0,7.0,1,8.0,6.5,1.5,1,9.0,5.0,4.0,1,9.0,3.5,5.5,1,10.0,1.5,8.5,1,8.0,3.5,4.5,1,10.0,6.5,3.5,1,9.0,5.0,4.0,1,9.0,6.5,2.5,1,3.0,4.0,-1.0,0,8.0,3.5,4.5,1,9.0,1.5,7.5,1,1.0,2.0,-1.0,0,9.0,1.0,8.0,1,9.0,1.5,7.5,1,1.0,0.0,1.0,1,10.0,1.0,9.0,1,10.0,5.5,4.5,1,9.0,7.5,1.5,1,17,2,victory
Monkey D. Luffy vs Silvers Rayleigh,Monkey D. Luffy,Silvers Rayleigh,10.0,9.5,0.5,1,8.0,7.0,1.0,1,9.0,9.0,0.0,0,9.0,10.0,-1.0,0,10.0,9.5,0.5,1,8.0,9.0,-1.0,0,10.0,9.0,1.0,1,9.0,8.5,0.5,1,9.0,8.5,0.5,1,3.0,9.0,-6.0,0,8.0,10.0,-2.0,0,9.0,10.0,-1.0,0,1.0,9.5,-8.5,0,9.0,10.0,-1.0,0,9.0,10.0,-1.0,0,1.0,1.0,0.0,0,10.0,1.0,9.0,1,10.0,10.0,0.0,0,9.0,10.0,-1.0,0,10,12,loss
Monkey D. Luffy vs Buggy,Monkey D. Luffy,Buggy,10.0,3.5,6.5,1,8.0,5.0,3.0,1,9.0,6.0,3.0,1,9.0,5.0,4.0,1,10.0,5.5,4.5,1,8.0,6.5,1.5,1,10.0,5.0,5.0,1,9.0,6.0,3.0,1,9.0,6.0,3.0,1,3.0,6.0,-3.0,0,8.0,6.5,1.5,1,9.0,4.5,4.5,1,1.0,5.5,-4.5,0,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,10.0,8.0,2.0,1,10.0,5.5,4.5,1,9.0,7.5,1.5,1,17,2,victory
Monkey D. Luffy vs Enel,Monkey D. Luffy,Enel,10.0,7.0,3.0,1,8.0,9.5,-1.5,0,9.0,7.5,1.5,1,9.0,9.0,0.0,0,10.0,9.5,0.5,1,8.0,6.5,1.5,1,10.0,6.5,3.5,1,9.0,6.0,3.0,1,9.0,8.0,1.0,1,3.0,7.5,-4.5,0,8.0,7.0,1.0,1,9.0,7.0,2.0,1,1.0,6.5,-5.5,0,9.0,1.0,8.0,1,9.0,10.0,-1.0,0,1.0,0.0,1.0,1,10.0,10.0,0.0,0,10.0,5.5,4.5,1,9.0,6.0,3.0,1,15,6,victory
Monkey D. Luffy vs Kuzan,Monkey D. Luffy,Kuzan,10.0,9.0,1.0,1,8.0,8.5,-0.5,0,9.0,8.0,1.0,1,9.0,8.5,0.5,1,10.0,9.5,0.5,1,8.0,8.5,-0.5,0,10.0,9.5,0.5,1,9.0,9.0,0.0,0,9.0,9.5,-0.5,0,3.0,8.5,-5.5,0,8.0,9.5,-1.5,0,9.0,9.5,-0.5,0,1.0,6.5,-5.5,0,9.0,8.5,0.5,1,9.0,8.5,0.5,1,1.0,0.0,1.0,1,10.0,10.0,0.0,0,10.0,8.5,1.5,1,9.0,9.5,-0.5,0,11,10,victory
Monkey D. Luffy vs Woop Slap,Monkey D. Luffy,Woop Slap,10.0,1.0,9.0,1,8.0,2.0,6.0,1,9.0,1.0,8.0,1,9.0,1.5,7.5,1,10.0,1.0,9.0,1,8.0,1.0,7.0,1,10.0,2.0,8.0,1,9.0,2.0,7.0,1,9.0,2.5,6.5,1,3.0,5.5,-2.5,0,8.0,1.0,7.0,1,9.0,1.0,8.0,1,1.0,1.0,0.0,0,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,10.0,1.0,9.0,1,10.0,6.0,4.0,1,9.0,4.0,5.0,1,18,2,victory
Monkey D. Luffy vs Tashigi,Monkey D. Luffy,Tashigi,10.0,4.0,6.0,1,8.0,4.5,3.5,1,9.0,5.5,3.5,1,9.0,6.0,3.0,1,10.0,5.0,5.0,1,8.0,4.5,3.5,1,10.0,5.0,5.0,1,9.0,4.5,4.5,1,9.0,5.5,3.5,1,3.0,7.0,-4.0,0,8.0,6.0,2.0,1,9.0,6.5,2.5,1,1.0,7.5,-6.5,0,9.0,5.0,4.0,1,9.0,4.0,5.0,1,1.0,0.0,1.0,1,10.0,1.0,9.0,1,10.0,7.0,3.0,1,9.0,6.0,3.0,1,17,2,victory
Monkey D. Luffy vs Vinsmoke Reiju,Monkey D. Luffy,Vinsmoke Reiju,10.0,6.5,3.5,1,8.0,7.0,1.0,1,9.0,7.5,1.5,1,9.0,7.0,2.0,1,10.0,7.0,3.0,1,8.0,6.5,1.5,1,10.0,7.0,3.0,1,9.0,6.5,2.5,1,9.0,6.5,2.5,1,3.0,8.0,-5.0,0,8.0,7.5,0.5,1,9.0,7.5,1.5,1,1.0,4.5,-3.5,0,9.0,3.0,6.0,1,9.0,3.0,6.0,1,1.0,0.0,1.0,1,10.0,1.0,9.0,1,10.0,8.5,1.5,1,9.0,7.0,2.0,1,17,2,victory
