fight_name,fighter_1_reaction_speed,fighter_2_reaction_speed,reaction_speed_diff,reaction_speed_advantage,fighter_1_stamina,fighter_2_stamina,stamina_diff,stamina_advantage,fighter_1_strength,fighter_2_strength,strength_diff,strength_advantage,fighter_1_offense,fighter_2_offense,offense_diff,offense_advantage,fighter_1_defense,fighter_2_defense,defense_diff,defense_advantage,fighter_1_combat_skills,fighter_2_combat_skills,combat_skills_diff,combat_skills_advantage,fighter_1_battle_iq,fighter_2_battle_iq,battle_iq_diff,battle_iq_advantage,fighter_1_armament_haki,fighter_2_armament_haki,armament_haki_diff,armament_haki_advantage,fighter_1_observation_haki,fighter_2_observation_haki,observation_haki_diff,observation_haki_advantage,fighter_1_conqueror_haki,fighter_2_conqueror_haki,conqueror_haki_diff,conqueror_haki_advantage,fighter_1_experience,fighter_2_experience,experience_diff,experience_advantage,outcome
Monkey D. Luffy vs Yamato,9.0,8.0,1.0,1,9.0,8.0,1.0,1,10.0,8.5,1.5,1,10.0,8.5,1.5,1,8.0,8.0,0.0,0,9.0,8.5,0.5,1,8.0,8.0,0.0,0,9.0,8.5,0.5,1,9.0,7.0,2.0,1,1.0,1.0,0.0,0,9.0,7.0,2.0,1,victory
Monkey D. Luffy vs Shanks,9.0,10.0,-1.0,0,9.0,9.5,-0.5,0,10.0,9.5,0.5,1,10.0,9.5,0.5,1,8.0,9.0,-1.0,0,9.0,10.0,-1.0,0,8.0,10.0,-2.0,0,9.0,10.0,-1.0,0,9.0,9.5,-0.5,0,1.0,1.0,0.0,0,9.0,10.0,-1.0,0,loss
Monkey D. Luffy vs Donquixote Rosinante,9.0,6.0,3.0,1,9.0,6.5,2.5,1,10.0,4.5,5.5,1,10.0,5.0,5.0,1,8.0,5.0,3.0,1,9.0,5.0,4.0,1,8.0,6.5,1.5,1,9.0,3.0,6.0,1,9.0,6.0,3.0,1,1.0,0.0,1.0,1,9.0,7.0,2.0,1,victory
Monkey D. Luffy vs Charlotte Katakuri,9.0,9.5,-0.5,0,9.0,9.0,0.0,0,10.0,9.0,1.0,1,10.0,8.5,1.5,1,8.0,8.0,0.0,0,9.0,9.5,-0.5,0,8.0,9.0,-1.0,0,9.0,9.0,0.0,0,9.0,10.0,-1.0,0,1.0,1.0,0.0,0,9.0,9.0,0.0,0,victory
Monkey D. Luffy vs Usopp,9.0,6.0,3.0,1,9.0,6.5,2.5,1,10.0,3.0,7.0,1,10.0,6.0,4.0,1,8.0,3.5,4.5,1,9.0,6.0,3.0,1,8.0,7.0,1.0,1,9.0,0.5,8.5,1,9.0,7.5,1.5,1,1.0,0.0,1.0,1,9.0,7.0,2.0,1,victory
Monkey D. Luffy vs Tony Tony Chopper,9.0,5.5,3.5,1,9.0,6.0,3.0,1,10.0,6.5,3.5,1,10.0,6.5,3.5,1,8.0,6.0,2.0,1,9.0,6.0,3.0,1,8.0,7.0,1.0,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,6.5,2.5,1,victory
Monkey D. Luffy vs Crocodile,9.0,7.5,1.5,1,9.0,7.5,1.5,1,10.0,7.5,2.5,1,10.0,8.5,1.5,1,8.0,8.0,0.0,0,9.0,8.0,1.0,1,8.0,9.0,-1.0,0,9.0,6.0,3.0,1,9.0,6.0,3.0,1,1.0,0.0,1.0,1,9.0,9.0,0.0,0,victory
Monkey D. Luffy vs Jinbe,9.0,4.5,4.5,1,9.0,5.0,4.0,1,10.0,5.0,5.0,1,10.0,5.0,5.0,1,8.0,5.5,2.5,1,9.0,5.5,3.5,1,8.0,5.0,3.0,1,9.0,5.0,4.0,1,9.0,4.5,4.5,1,1.0,0.0,1.0,1,9.0,5.5,3.5,1,victory
Monkey D. Luffy vs Marco,9.0,9.0,0.0,0,9.0,8.5,0.5,1,10.0,8.0,2.0,1,10.0,8.5,1.5,1,8.0,9.5,-1.5,0,9.0,9.0,0.0,0,8.0,9.0,-1.0,0,9.0,7.5,1.5,1,9.0,7.5,1.5,1,1.0,0.0,1.0,1,9.0,9.5,-0.5,0,victory
Monkey D. Luffy vs Donquixote Doflamingo,9.0,8.5,0.5,1,9.0,9.5,-0.5,0,10.0,8.5,1.5,1,10.0,9.0,1.0,1,8.0,8.0,0.0,0,9.0,9.0,0.0,0,8.0,9.0,-1.0,0,9.0,8.5,0.5,1,9.0,8.0,1.0,1,1.0,1.0,0.0,0,9.0,9.5,-0.5,0,victory
Monkey D. Luffy vs Nefertari Vivi,9.0,4.5,4.5,1,9.0,5.5,3.5,1,10.0,3.0,7.0,1,10.0,3.0,7.0,1,8.0,3.5,4.5,1,9.0,4.5,4.5,1,8.0,6.5,1.5,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs Bentham,9.0,6.5,2.5,1,9.0,7.5,1.5,1,10.0,6.5,3.5,1,10.0,6.5,3.5,1,8.0,5.5,2.5,1,9.0,7.5,1.5,1,8.0,7.5,0.5,1,9.0,0.5,8.5,1,9.0,0.5,8.5,1,1.0,0.0,1.0,1,9.0,7.0,2.0,1,victory
Monkey D. Luffy vs Eustass Kid,9.0,8.0,1.0,1,9.0,8.0,1.0,1,10.0,8.5,1.5,1,10.0,8.5,1.5,1,8.0,7.5,0.5,1,9.0,7.5,1.5,1,8.0,7.5,0.5,1,9.0,8.0,1.0,1,9.0,7.0,2.0,1,1.0,1.0,0.0,0,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Kouzuki Oden,9.0,8.5,0.5,1,9.0,8.5,0.5,1,10.0,9.5,0.5,1,10.0,9.5,0.5,1,8.0,7.0,1.0,1,9.0,9.5,-0.5,0,8.0,7.5,0.5,1,9.0,9.0,0.0,0,9.0,7.5,1.5,1,1.0,1.0,0.0,0,9.0,9.0,0.0,0,victory
Monkey D. Luffy vs Perona,9.0,4.5,4.5,1,9.0,4.0,5.0,1,10.0,1.5,8.5,1,10.0,6.5,3.5,1,8.0,5.5,2.5,1,9.0,3.0,6.0,1,8.0,5.0,3.0,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,4.5,4.5,1,victory
Monkey D. Luffy vs Brook,9.0,7.5,1.5,1,9.0,8.0,1.0,1,10.0,6.0,4.0,1,10.0,7.0,3.0,1,8.0,5.0,3.0,1,9.0,7.5,1.5,1,8.0,7.0,1.0,1,9.0,2.0,7.0,1,9.0,2.5,6.5,1,1.0,0.0,1.0,1,9.0,8.5,0.5,1,victory
Monkey D. Luffy vs Smoker,9.0,7.0,2.0,1,9.0,7.0,2.0,1,10.0,7.0,3.0,1,10.0,7.0,3.0,1,8.0,6.5,1.5,1,9.0,7.5,1.5,1,8.0,7.5,0.5,1,9.0,6.5,2.5,1,9.0,7.0,2.0,1,1.0,0.0,1.0,1,9.0,8.5,0.5,1,victory
Monkey D. Luffy vs Franky,9.0,6.5,2.5,1,9.0,7.5,1.5,1,10.0,8.0,2.0,1,10.0,8.0,2.0,1,8.0,7.5,0.5,1,9.0,7.5,1.5,1,8.0,7.5,0.5,1,9.0,2.0,7.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Gol D. Roger,9.0,10.0,-1.0,0,9.0,10.0,-1.0,0,10.0,10.0,0.0,0,10.0,10.0,0.0,0,8.0,8.5,-0.5,0,9.0,10.0,-1.0,0,8.0,10.0,-2.0,0,9.0,10.0,-1.0,0,9.0,9.5,-0.5,0,1.0,1.0,0.0,0,9.0,10.0,-1.0,0,loss
Monkey D. Luffy vs Dracule Mihawk,9.0,10.0,-1.0,0,9.0,9.5,-0.5,0,10.0,10.0,0.0,0,10.0,10.0,0.0,0,8.0,9.0,-1.0,0,9.0,10.0,-1.0,0,8.0,10.0,-2.0,0,9.0,9.5,-0.5,0,9.0,9.5,-0.5,0,1.0,0.0,1.0,1,9.0,10.0,-1.0,0,loss
Monkey D. Luffy vs Edward Newgate,9.0,7.5,1.5,1,9.0,8.5,0.5,1,10.0,10.0,0.0,0,10.0,10.0,0.0,0,8.0,9.0,-1.0,0,9.0,10.0,-1.0,0,8.0,9.0,-1.0,0,9.0,10.0,-1.0,0,9.0,8.0,1.0,1,1.0,1.0,0.0,0,9.0,10.0,-1.0,0,loss
Monkey D. Luffy vs Going Merry,9.0,3.5,5.5,1,9.0,6.5,2.5,1,10.0,3.0,7.0,1,10.0,1.5,8.5,1,8.0,3.5,4.5,1,9.0,1.5,7.5,1,8.0,3.5,4.5,1,9.0,1.0,8.0,1,9.0,1.5,7.5,1,1.0,0.0,1.0,1,9.0,7.5,1.5,1,victory
Monkey D. Luffy vs Silvers Rayleigh,9.0,10.0,-1.0,0,9.0,8.5,0.5,1,10.0,9.5,0.5,1,10.0,9.5,0.5,1,8.0,9.0,-1.0,0,9.0,10.0,-1.0,0,8.0,10.0,-2.0,0,9.0,10.0,-1.0,0,9.0,10.0,-1.0,0,1.0,1.0,0.0,0,9.0,10.0,-1.0,0,loss
Monkey D. Luffy vs Buggy,9.0,5.0,4.0,1,9.0,6.0,3.0,1,10.0,3.5,6.5,1,10.0,5.5,4.5,1,8.0,6.5,1.5,1,9.0,4.5,4.5,1,8.0,6.5,1.5,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,7.5,1.5,1,victory
Monkey D. Luffy vs Enel,9.0,9.0,0.0,0,9.0,8.0,1.0,1,10.0,7.0,3.0,1,10.0,9.5,0.5,1,8.0,6.5,1.5,1,9.0,7.0,2.0,1,8.0,7.0,1.0,1,9.0,1.0,8.0,1,9.0,10.0,-1.0,0,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs Kuzan,9.0,8.5,0.5,1,9.0,9.5,-0.5,0,10.0,9.0,1.0,1,10.0,9.5,0.5,1,8.0,8.5,-0.5,0,9.0,9.5,-0.5,0,8.0,9.5,-1.5,0,9.0,8.5,0.5,1,9.0,8.5,0.5,1,1.0,0.0,1.0,1,9.0,9.5,-0.5,0,victory
Monkey D. Luffy vs Woop Slap,9.0,1.5,7.5,1,9.0,2.5,6.5,1,10.0,1.0,9.0,1,10.0,1.0,9.0,1,8.0,1.0,7.0,1,9.0,1.0,8.0,1,8.0,1.0,7.0,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,4.0,5.0,1,victory
Monkey D. Luffy vs Tashigi,9.0,6.0,3.0,1,9.0,5.5,3.5,1,10.0,4.0,6.0,1,10.0,5.0,5.0,1,8.0,4.5,3.5,1,9.0,6.5,2.5,1,8.0,6.0,2.0,1,9.0,5.0,4.0,1,9.0,4.0,5.0,1,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs Vinsmoke Reiju,9.0,7.0,2.0,1,9.0,6.5,2.5,1,10.0,6.5,3.5,1,10.0,7.0,3.0,1,8.0,6.5,1.5,1,9.0,7.5,1.5,1,8.0,7.5,0.5,1,9.0,3.0,6.0,1,9.0,3.0,6.0,1,1.0,0.0,1.0,1,9.0,7.0,2.0,1,victory
Monkey D. Luffy vs Bartolomeo,9.0,5.5,3.5,1,9.0,7.0,2.0,1,10.0,6.0,4.0,1,10.0,7.0,3.0,1,8.0,9.5,-1.5,0,9.0,6.0,3.0,1,8.0,6.5,1.5,1,9.0,2.0,7.0,1,9.0,2.0,7.0,1,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs X Drake,9.0,7.5,1.5,1,9.0,7.0,2.0,1,10.0,7.5,2.5,1,10.0,8.0,2.0,1,8.0,7.0,1.0,1,9.0,8.0,1.0,1,8.0,7.5,0.5,1,9.0,7.0,2.0,1,9.0,6.5,2.5,1,1.0,0.0,1.0,1,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Koby,9.0,7.0,2.0,1,9.0,7.5,1.5,1,10.0,6.0,4.0,1,10.0,6.5,3.5,1,8.0,5.0,3.0,1,9.0,6.5,2.5,1,8.0,7.0,1.0,1,9.0,7.0,2.0,1,9.0,8.5,0.5,1,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs Rob Lucci,9.0,8.5,0.5,1,9.0,9.0,0.0,0,10.0,9.0,1.0,1,10.0,9.0,1.0,1,8.0,7.5,0.5,1,9.0,9.5,-0.5,0,8.0,8.5,-0.5,0,9.0,7.5,1.5,1,9.0,7.5,1.5,1,1.0,0.0,1.0,1,9.0,8.5,0.5,1,victory
Monkey D. Luffy vs Monkey D. Garp,9.0,10.0,-1.0,0,9.0,9.5,-0.5,0,10.0,10.0,0.0,0,10.0,10.0,0.0,0,8.0,8.5,-0.5,0,9.0,10.0,-1.0,0,8.0,9.5,-1.5,0,9.0,10.0,-1.0,0,9.0,9.0,0.0,0,1.0,1.0,0.0,0,9.0,10.0,-1.0,0,loss
Monkey D. Luffy vs Charlotte Pudding,9.0,5.0,4.0,1,9.0,5.0,4.0,1,10.0,3.5,6.5,1,10.0,5.0,5.0,1,8.0,4.0,4.0,1,9.0,4.5,4.5,1,8.0,6.5,1.5,1,9.0,1.0,8.0,1,9.0,2.5,6.5,1,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs Marshall D. Teach,9.0,7.0,2.0,1,9.0,8.0,1.0,1,10.0,9.0,1.0,1,10.0,9.5,0.5,1,8.0,7.5,0.5,1,9.0,8.0,1.0,1,8.0,8.5,-0.5,0,9.0,8.0,1.0,1,9.0,7.0,2.0,1,1.0,0.0,1.0,1,9.0,8.5,0.5,1,victory
Monkey D. Luffy vs Kikuhime,9.0,7.0,2.0,1,9.0,7.0,2.0,1,10.0,6.0,4.0,1,10.0,7.0,3.0,1,8.0,6.0,2.0,1,9.0,8.0,1.0,1,8.0,7.0,1.0,1,9.0,6.0,3.0,1,9.0,6.0,3.0,1,1.0,0.0,1.0,1,9.0,7.0,2.0,1,victory
Monkey D. Luffy vs Izou,9.0,7.5,1.5,1,9.0,7.5,1.5,1,10.0,6.5,3.5,1,10.0,7.5,2.5,1,8.0,5.5,2.5,1,9.0,8.0,1.0,1,8.0,8.0,0.0,0,9.0,6.0,3.0,1,9.0,6.0,3.0,1,1.0,0.0,1.0,1,9.0,8.5,0.5,1,victory
Monkey D. Luffy vs Kouzuki Hiyori,9.0,4.0,5.0,1,9.0,5.0,4.0,1,10.0,2.5,7.5,1,10.0,3.0,7.0,1,8.0,4.0,4.0,1,9.0,2.5,6.5,1,8.0,3.5,4.5,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs Shirahoshi,9.0,2.5,6.5,1,9.0,2.5,6.5,1,10.0,1.0,9.0,1,10.0,4.5,5.5,1,8.0,1.0,7.0,1,9.0,1.0,8.0,1,8.0,1.5,6.5,1,9.0,1.0,8.0,1,9.0,5.5,3.5,1,1.0,0.0,1.0,1,9.0,1.5,7.5,1,victory
Monkey D. Luffy vs Pell,9.0,6.5,2.5,1,9.0,6.5,2.5,1,10.0,6.5,3.5,1,10.0,6.0,4.0,1,8.0,5.0,3.0,1,9.0,6.5,2.5,1,8.0,6.5,1.5,1,9.0,1.5,7.5,1,9.0,1.5,7.5,1,1.0,0.0,1.0,1,9.0,6.5,2.5,1,victory
Monkey D. Luffy vs Issho,9.0,8.5,0.5,1,9.0,9.0,0.0,0,10.0,9.0,1.0,1,10.0,9.0,1.0,1,8.0,8.5,-0.5,0,9.0,9.0,0.0,0,8.0,9.0,-1.0,0,9.0,9.0,0.0,0,9.0,10.0,-1.0,0,1.0,0.0,1.0,1,9.0,9.5,-0.5,0,victory
Monkey D. Luffy vs Sakazuki,9.0,8.5,0.5,1,9.0,9.5,-0.5,0,10.0,9.5,0.5,1,10.0,10.0,0.0,0,8.0,8.5,-0.5,0,9.0,9.5,-0.5,0,8.0,9.0,-1.0,0,9.0,9.5,-0.5,0,9.0,8.5,0.5,1,1.0,0.0,1.0,1,9.0,9.5,-0.5,0,loss
Monkey D. Luffy vs Kurozumi Tama,9.0,3.0,6.0,1,9.0,4.0,5.0,1,10.0,2.0,8.0,1,10.0,3.5,6.5,1,8.0,2.5,5.5,1,9.0,1.5,7.5,1,8.0,4.0,4.0,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,3.0,6.0,1,victory
Monkey D. Luffy vs Killer,9.0,7.5,1.5,1,9.0,7.0,2.0,1,10.0,7.0,3.0,1,10.0,8.0,2.0,1,8.0,6.0,2.0,1,9.0,8.0,1.0,1,8.0,8.0,0.0,0,9.0,7.0,2.0,1,9.0,6.0,3.0,1,1.0,0.0,1.0,1,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Ulti,9.0,7.5,1.5,1,9.0,7.5,1.5,1,10.0,8.0,2.0,1,10.0,7.5,2.5,1,8.0,7.5,0.5,1,9.0,7.5,1.5,1,8.0,6.5,1.5,1,9.0,7.0,2.0,1,9.0,5.5,3.5,1,1.0,0.0,1.0,1,9.0,6.5,2.5,1,victory
Monkey D. Luffy vs Benn Beckman,9.0,9.0,0.0,0,9.0,9.0,0.0,0,10.0,8.5,1.5,1,10.0,9.0,1.0,1,8.0,7.5,0.5,1,9.0,9.0,0.0,0,8.0,9.5,-1.5,0,9.0,9.0,0.0,0,9.0,9.0,0.0,0,1.0,0.0,1.0,1,9.0,10.0,-1.0,0,victory
Monkey D. Luffy vs Koala,9.0,7.0,2.0,1,9.0,6.5,2.5,1,10.0,6.0,4.0,1,10.0,6.5,3.5,1,8.0,5.5,2.5,1,9.0,7.5,1.5,1,8.0,7.0,1.0,1,9.0,5.0,4.0,1,9.0,5.0,4.0,1,1.0,0.0,1.0,1,9.0,7.0,2.0,1,victory
Monkey D. Luffy vs Borsalino,9.0,10.0,-1.0,0,9.0,8.0,1.0,1,10.0,8.0,2.0,1,10.0,9.5,0.5,1,8.0,7.5,0.5,1,9.0,9.0,0.0,0,8.0,8.5,-0.5,0,9.0,9.0,0.0,0,9.0,9.0,0.0,0,1.0,0.0,1.0,1,9.0,9.5,-0.5,0,victory
Monkey D. Luffy vs Gaimon,9.0,1.5,7.5,1,9.0,3.5,5.5,1,10.0,1.0,9.0,1,10.0,1.0,9.0,1,8.0,1.5,6.5,1,9.0,1.0,8.0,1,8.0,1.5,6.5,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,5.5,3.5,1,victory
Monkey D. Luffy vs Pedro,9.0,7.5,1.5,1,9.0,7.0,2.0,1,10.0,7.5,2.5,1,10.0,7.5,2.5,1,8.0,6.5,1.5,1,9.0,8.0,1.0,1,8.0,8.0,0.0,0,9.0,6.5,2.5,1,9.0,7.5,1.5,1,1.0,0.0,1.0,1,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Monkey D. Dragon,9.0,8.5,0.5,1,9.0,9.0,0.0,0,10.0,8.5,1.5,1,10.0,9.0,1.0,1,8.0,8.5,-0.5,0,9.0,9.0,0.0,0,8.0,9.5,-1.5,0,9.0,9.0,0.0,0,9.0,8.0,1.0,1,1.0,0.0,1.0,1,9.0,10.0,-1.0,0,victory
Monkey D. Luffy vs Thousand Sunny,9.0,5.0,4.0,1,9.0,7.0,2.0,1,10.0,7.5,2.5,1,10.0,7.0,3.0,1,8.0,7.5,0.5,1,9.0,6.0,3.0,1,8.0,4.0,4.0,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,6.5,2.5,1,victory
Monkey D. Luffy vs Bepo,9.0,6.0,3.0,1,9.0,6.0,3.0,1,10.0,6.0,4.0,1,10.0,6.0,4.0,1,8.0,5.5,2.5,1,9.0,6.5,2.5,1,8.0,6.0,2.0,1,9.0,3.0,6.0,1,9.0,3.0,6.0,1,1.0,0.0,1.0,1,9.0,6.5,2.5,1,victory
Monkey D. Luffy vs Rockstar,9.0,5.5,3.5,1,9.0,6.0,3.0,1,10.0,5.5,4.5,1,10.0,5.5,4.5,1,8.0,5.0,3.0,1,9.0,6.0,3.0,1,8.0,5.5,2.5,1,9.0,6.0,3.0,1,9.0,5.0,4.0,1,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs Hiriluk,9.0,3.5,5.5,1,9.0,4.5,4.5,1,10.0,2.0,8.0,1,10.0,1.5,8.5,1,8.0,2.5,5.5,1,9.0,1.5,7.5,1,8.0,1.5,6.5,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs Rebecca,9.0,7.0,2.0,1,9.0,6.5,2.5,1,10.0,4.0,6.0,1,10.0,4.0,6.0,1,8.0,5.0,3.0,1,9.0,6.0,3.0,1,8.0,7.0,1.0,1,9.0,0.0,9.0,1,9.0,1.5,7.5,1,1.0,0.0,1.0,1,9.0,6.0,3.0,1,victory
Monkey D. Luffy vs Paulie,9.0,6.0,3.0,1,9.0,7.0,2.0,1,10.0,6.5,3.5,1,10.0,6.0,4.0,1,8.0,6.0,2.0,1,9.0,7.0,2.0,1,8.0,6.5,1.5,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,7.0,2.0,1,victory
Monkey D. Luffy vs Urouge,9.0,6.5,2.5,1,9.0,7.0,2.0,1,10.0,8.0,2.0,1,10.0,8.0,2.0,1,8.0,7.0,1.0,1,9.0,7.0,2.0,1,8.0,7.0,1.0,1,9.0,7.0,2.0,1,9.0,6.0,3.0,1,1.0,0.0,1.0,1,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Namur,9.0,6.5,2.5,1,9.0,7.0,2.0,1,10.0,7.5,2.5,1,10.0,7.5,2.5,1,8.0,6.5,1.5,1,9.0,7.5,1.5,1,8.0,6.5,1.5,1,9.0,4.0,5.0,1,9.0,3.5,5.5,1,1.0,0.0,1.0,1,9.0,6.5,2.5,1,victory
Monkey D. Luffy vs Senor Pink,9.0,6.5,2.5,1,9.0,7.5,1.5,1,10.0,7.0,3.0,1,10.0,7.0,3.0,1,8.0,7.0,1.0,1,9.0,7.5,1.5,1,8.0,7.0,1.0,1,9.0,5.5,3.5,1,9.0,4.0,5.0,1,1.0,0.0,1.0,1,9.0,7.5,1.5,1,victory
Monkey D. Luffy vs Cavendish,9.0,7.5,1.5,1,9.0,7.0,2.0,1,10.0,7.5,2.5,1,10.0,8.0,2.0,1,8.0,6.5,1.5,1,9.0,8.0,1.0,1,8.0,7.5,0.5,1,9.0,6.0,3.0,1,9.0,6.0,3.0,1,1.0,0.0,1.0,1,9.0,7.5,1.5,1,victory
Monkey D. Luffy vs Gecko Moria,9.0,4.5,4.5,1,9.0,6.0,3.0,1,10.0,6.5,3.5,1,10.0,7.5,2.5,1,8.0,5.5,2.5,1,9.0,5.0,4.0,1,8.0,6.0,2.0,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,8.0,1.0,1,victory
Monkey D. Luffy vs Karoo,9.0,4.5,4.5,1,9.0,6.5,2.5,1,10.0,2.0,8.0,1,10.0,1.5,8.5,1,8.0,3.5,4.5,1,9.0,1.5,7.5,1,8.0,2.5,5.5,1,9.0,1.0,8.0,1,9.0,1.0,8.0,1,1.0,0.0,1.0,1,9.0,4.5,4.5,1,victory
